Date,Close/Last,Volume,Open,High,Low,,,
08/30/2017,2161.75,10,2164.75,2164.75,2164.75,,,
08/14/2017,2093.25,4,2102.25,2102.25,2091.25,,,
08/07/2017,2023,10,2007.75,2007.75,2007.75,,,
07/18/2017,2004,20,1995.75,1995.75,1995.75,,,
05/25/2017,2028.25,30,2034,2034,2025.5,,,
05/24/2017,2021.25,20,2029.5,2029.5,2027.25,,,
05/19/2017,2022.75,50,2028.25,2028.25,2017.5,,,
05/12/2017,1985,10,1972.25,1972.25,1972.25,,,
04/24/2017,2002.5,6,2003,2008.75,2003,,,
04/21/2017,1992.75,30,1992.75,1992.75,1992.75,,,
04/06/2017,2029,40,2029,2029,2029,,,
03/31/2017,2032.75,1,2040,2040,2040,,,
03/30/2017,2041.75,1,2028.75,2028.75,2028.75,,,
03/27/2017,2004.25,50,2004.25,2004.25,2004.25,,,
03/10/2017,1957,10,1954.25,1954.25,1954.25,,,
03/08/2017,1958,10,1948.5,1948.5,1948.5,,,
03/07/2017,1950.5,40,1953.25,1953.25,1949.75,,,
03/06/2017,1958,70,1956.75,1956.75,1956.75,,,
03/03/2017,1938,10,1999,1999,1999,,,
02/27/2017,1996.25,60,1996.25,1996.25,1996.25,,,
02/23/2017,1961.5,10,1967.75,1967.75,1967.75,,,
02/22/2017,1985.5,10,1985.5,1985.5,1985.5,,,
02/17/2017,1980.75,20,1980,1983.75,1980,,,
02/15/2017,2012.25,30,1997.25,2006.75,1996.25,,,
02/14/2017,1990.25,24,2003.25,2003.25,2003.25,,,
02/13/2017,1968,45,1981.25,1981.25,1970.25,,,
02/10/2017,1970.75,73,1961.25,1970.75,1961.25,,,
02/09/2017,1951.75,34,1956.75,1956.75,1950.25,,,
02/08/2017,1950,150,1945.25,1945.25,1944.25,,,
02/07/2017,1934,20,1930,1930,1927.75,,,
02/06/2017,1946,8,1926.25,1936.5,1926.25,,,
02/01/2017,1920.75,20,1912.25,1915,1912.25,,,
01/31/2017,1923,1,1909.5,1909.5,1909.5,,,
01/30/2017,1910,30,1914.25,1914.25,1910,,,
01/26/2017,1927.25,31,1937,1937,1925,,,
01/25/2017,1946,40,1948.5,1964.25,1938.25,,,
01/24/2017,1978.75,29,1957,1983.25,1957,,,
01/23/2017,1962.5,2,1962.75,1962.75,1962.75,,,
01/20/2017,1962,115,1947.25,1956.75,1934.75,,,
01/19/2017,1946.25,122,1942.25,1946.25,1925,,,
01/18/2017,1957.75,36,1947.25,1947.25,1928.5,,,
01/17/2017,1911.5,12,1916.75,1916.75,1909.75,,,
01/11/2017,1858.75,10,1854.75,1854.75,1854.75,,,
01/06/2017,1803,44,1790.75,1791,1790,,,
01/05/2017,1803.25,26,1803.25,1803.25,1803.25,,,
01/04/2017,1786.75,10,1786.75,1786.75,1786.75,,,
12/19/2016,1816,14,1814.25,1817.75,1814.25,,,
12/16/2016,1827.75,10,1835.5,1835.5,1835.5,,,
12/14/2016,1848.25,5,1839.5,1839.5,1839.5,,,
12/13/2016,1846.5,1,1848.25,1848.25,1848.25,,,
12/08/2016,1829.25,25,1823.5,1839.25,1823.5,,,
12/07/2016,1818.75,5,1833,1833,1833,,,
12/06/2016,1826,40,1821.5,1836.25,1821.5,,,
12/02/2016,1844.25,60,1834.25,1839.75,1833.25,,,
12/01/2016,1845,40,1842,1848.25,1842,,,
11/30/2016,1861.5,60,1848.25,1861.5,1848.25,,,
11/29/2016,1841,28,1847.25,1847.25,1837.75,,,
11/28/2016,1877.5,18,1885,1885,1874.5,,,
11/25/2016,1866.5,5,1866.5,1866.5,1866.5,,,
11/22/2016,1879.25,20,1858.25,1880,1858.25,,,
11/21/2016,1844.75,60,1845.75,1845.75,1833.25,,,
11/18/2016,1828,70,1824.75,1836.75,1819.75,,,
11/17/2016,1809.5,10,1812.75,1819.75,1812.75,,,
11/15/2016,1850.5,10,1836.5,1836.5,1834,,,
11/14/2016,1850.5,20,1857.25,1858.25,1844.75,,,
11/11/2016,1853,80,1866.25,1879,1850.75,,,
11/10/2016,1866.5,60,1863.25,1872,1863.25,,,
11/09/2016,1843.25,15,1830,1846,1830,,,
11/07/2016,1807.75,5,1800,1800,1800,,,
11/04/2016,1796.25,16,1798.75,1801.25,1798.25,,,
11/03/2016,1813.5,5,1813.5,1813.5,1813.5,,,
11/02/2016,1777.25,10,1785,1785,1784,,,
11/01/2016,1791.25,31,1804,1804,1794,,,
10/31/2016,1806,5,1805.75,1805.75,1805.75,,,
10/28/2016,1793.75,9,1769.5,1786,1769,,,
10/27/2016,1773,27,1753,1773,1753,,,
10/26/2016,1747.25,13,1745.75,1747,1741,,,
10/25/2016,1730.5,10,1727.25,1727.25,1727.25,,,
10/24/2016,1699.25,5,1698.5,1698.5,1698.5,,,
10/21/2016,1699.25,5,1699.25,1699.25,1699.25,,,
10/20/2016,1683,15,1682.25,1683.5,1682.25,,,
10/19/2016,1706.5,15,1700.25,1705.25,1698.5,,,
10/18/2016,1713.75,10,1721.5,1721.5,1720.25,,,
10/14/2016,1740,5,1754.75,1754.75,1754.75,,,
10/13/2016,1757.5,23,1756.75,1769,1753.75,,,
10/12/2016,1754.5,20,1763.25,1763.25,1752,,,
10/11/2016,1758.75,35,1750.75,1760,1750.75,,,
